method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
grpo,3b,128,880,5,880.0,True,False,False,,1.0,0.9387792944908142,3,4,False,630.2,0.0,0.6,0.0
grpo,3b,155,280,5,,False,False,False,,0.0,0.0,0,1,False,413.0,0.0,0.0,0.0
grpo,3b,175,15,5,5.0,False,False,False,,0.3333333333333333,0.0,3,3,False,410.4,0.0,0.09999999999999998,0.0
grpo,3b,184,25,5,25.0,True,False,True,25.0,0.6666666666666666,0.3952557146549225,3,3,True,478.8,0.5,0.30000000000000004,1.0
grpo,3b,192,91,5,91.0,True,False,True,91.0,1.0,0.6743417978286743,1,4,True,484.8,0.0,0.2,1.0
grpo,3b,196,120,5,50.0,False,False,False,240.0,1.0,0.0,1,1,True,399.6,0.0,0.0,0.0
grpo,3b,208,76,5,76.0,True,True,False,,0.5,0.7706050276756287,4,3,False,518.6,1.0,0.2,0.0
grpo,3b,210,10,5,15.0,False,False,False,,0.5,0.9216009378433228,2,3,False,749.2,0.0,0.0,0.0
grpo,3b,218,45,5,45.0,True,False,True,45.0,0.6666666666666666,0.50056391954422,3,5,True,609.6,0.0,0.4,1.0
grpo,3b,220,70,5,70.0,True,False,True,70.0,1.0,0.4355069398880005,4,2,True,554.2,0.0,0.2,1.0
grpo,3b,221,90,5,,False,False,False,16.0,0.0,0.0,0,2,True,339.8,0.0,0.0,0.0
grpo,3b,231,50,5,,False,False,False,,0.0,0.0,0,5,False,516.0,0.0,0.0,0.0
grpo,3b,233,12,5,12.0,True,False,True,12.0,1.0,0.0,1,2,True,372.8,0.0,0.0,1.0
grpo,3b,239,280,5,280.0,True,True,True,280.0,0.8,0.9310382604599,5,5,True,436.0,1.0,0.8,0.0
grpo,3b,240,21,5,33.0,False,False,False,,1.0,0.4666578471660614,2,4,False,280.6,0.0,0.04999999999999999,0.0
grpo,3b,243,250,5,250.0,True,False,False,300.0,1.0,0.822691798210144,1,3,True,387.0,0.0,0.2,0.5
grpo,3b,247,32,5,32.0,True,True,False,,1.0,0.9486555457115172,1,2,False,328.6,1.0,0.2,0.0
grpo,3b,254,84,5,84.0,True,False,False,,1.0,0.5043882727622986,2,3,False,255.4,0.0,0.4,0.0
grpo,3b,259,168,5,126.0,False,False,False,220.0,0.3333333333333333,0.5789452195167542,3,4,True,538.6,0.0,0.25,0.0
grpo,3b,261,62,5,62.0,True,False,True,62.0,0.6666666666666666,0.8536590933799744,3,5,True,411.2,0.0,0.5,1.0
grpo,3b,265,9500,5,9500.0,True,True,True,9500.0,0.75,0.2677270174026489,4,4,True,540.2,1.0,0.65,1.0
grpo,3b,270,762,5,762.0,True,True,True,762.0,1.0,0.3817883431911468,3,3,True,333.8,1.0,0.6,1.0
grpo,3b,277,4,5,4.0,True,False,False,,1.0,0.675410270690918,2,5,False,411.8,0.0,0.4,0.0
grpo,3b,282,195,5,180.0,False,False,False,,0.3333333333333333,0.4635908603668213,3,4,False,369.2,0.0,0.0,0.0
grpo,3b,286,90,5,90.0,True,False,True,90.0,1.0,0.9455585479736328,2,5,True,375.2,0.0,0.4,1.0
grpo,3b,289,16,5,8.0,False,False,False,,1.0,0.5213786363601685,1,4,False,508.2,0.0,0.0,0.0
grpo,3b,291,2,5,2.0,True,False,False,,1.0,0.4284000694751739,1,4,False,449.6,0.0,0.2,0.0
grpo,3b,296,3,5,3.0,True,True,False,,0.75,0.3214430510997772,4,1,False,353.2,1.0,0.2,0.0
grpo,3b,297,55,5,55.0,True,True,False,,1.0,0.5040674805641174,2,3,False,476.6,0.0,0.2,0.0
grpo,3b,298,500,5,900.0,False,False,True,500.0,0.3333333333333333,0.8064567446708679,3,4,True,528.8,0.0,0.0,1.0
grpo,3b,309,8,5,2.0,False,False,True,8.0,1.0,0.050433661788702,1,2,True,312.6,0.0,0.0,0.0
grpo,3b,331,8400,5,8400.0,True,True,False,,1.0,0.3355899751186371,1,1,False,463.8,1.0,0.2,0.0
grpo,3b,339,160,5,160.0,True,True,True,160.0,0.5,0.1801512390375137,4,4,True,569.2,1.0,0.5,1.0
grpo,3b,342,87,5,87.0,True,False,False,,1.0,0.0,1,1,False,422.4,0.0,0.0,0.0
grpo,3b,344,2,5,,False,False,False,,0.0,0.0,0,4,False,376.2,0.0,0.0,0.0
grpo,3b,346,9,5,496.0,False,False,False,,0.5,0.029955631121993,2,5,False,447.4,0.0,0.2,0.0
grpo,3b,351,10,5,10.0,True,False,True,10.0,1.0,0.0649427846074104,2,3,True,244.4,0.0,0.4,1.0
grpo,3b,352,21,5,21.0,True,True,False,,1.0,0.5471172332763672,3,4,False,414.4,1.0,0.4,0.0
grpo,3b,365,18,5,18.0,True,True,False,,0.6666666666666666,0.7117263078689575,3,4,False,350.0,1.0,0.4,0.0
grpo,3b,367,19,5,19.0,True,False,False,,0.6666666666666666,0.4645982682704925,3,3,False,577.8,0.0,0.44999999999999996,0.0
grpo,3b,371,50,5,50.0,True,False,False,56.0,1.0,0.7479300498962402,2,4,True,504.2,0.0,0.4,0.25
grpo,3b,377,50,5,50.0,True,True,True,50.0,1.0,0.6581337451934814,1,4,True,361.6,1.0,0.2,1.0
grpo,3b,409,168000,5,42000.0,False,False,False,,1.0,0.7585626244544983,1,3,False,695.6,0.25,0.04999999999999999,0.0
grpo,3b,410,3,5,3.0,True,True,False,6.0,1.0,0.0029458594508469,2,2,True,467.2,0.0,0.2,0.25
grpo,3b,411,1110,5,1110.0,True,False,True,1110.0,1.0,0.0,2,2,True,630.2,0.0,0.0,1.0
grpo,3b,420,17000,5,17000.0,True,False,True,17000.0,1.0,0.3792085349559784,1,3,True,290.6,0.0,0.2,1.0
grpo,3b,422,284,5,396.0,False,False,False,212.0,1.0,0.9504100680351256,1,3,True,510.4,0.0,0.04999999999999999,0.0
grpo,3b,425,150,5,150.0,True,False,False,,0.6666666666666666,0.430346816778183,3,3,False,637.6,0.0,0.4,0.0
grpo,3b,427,150,5,50.0,False,False,False,,0.5,0.7407916784286499,2,3,False,428.0,0.0,0.0,0.0
grpo,3b,428,26,5,22.0,False,False,False,,1.0,0.0,1,2,False,389.2,0.0,0.0,0.0
grpo,3b,430,132,5,132.0,True,True,True,132.0,1.0,0.0160351395606994,4,5,True,499.8,1.0,0.8,1.0
grpo,3b,438,2,5,2.0,True,True,False,,0.5,0.1549170464277267,2,3,False,413.8,1.0,0.2,0.0
grpo,3b,451,11050,5,11050.0,True,True,False,,1.0,0.7169821858406067,2,2,False,233.2,1.0,0.4,0.0
grpo,3b,453,6400,5,8800.0,False,False,False,,0.5,0.0961726605892181,2,4,False,572.8,0.0,0.04999999999999999,0.0
grpo,3b,462,71,5,71.0,True,False,True,71.0,1.0,0.3290445208549499,1,3,True,235.6,0.0,0.2,1.0
grpo,3b,478,621,5,621.0,True,False,False,93.0,1.0,0.2935397922992706,2,2,True,269.6,0.0,0.35,0.0
grpo,3b,485,220,5,220.0,True,False,False,,1.0,0.6157212257385254,1,3,False,399.8,0.0,0.2,0.0
grpo,3b,486,6,5,6.0,True,True,False,,0.5,0.7249134182929993,4,2,False,273.6,1.0,0.4,0.0
grpo,3b,493,25,5,150.0,False,False,False,,1.0,0.724029541015625,1,3,False,631.0,0.0,0.0,0.0
grpo,3b,497,112,5,64.0,False,False,False,,0.5,0.6165241003036499,2,4,False,317.8,0.0,0.0,0.0
grpo,3b,506,144,5,,False,False,False,,0.0,0.0,0,5,False,317.4,0.0,0.0,0.0
grpo,3b,522,29,5,29.0,True,False,True,29.0,0.6666666666666666,0.3925100862979889,3,4,True,504.2,0.0,0.2,1.0
grpo,3b,526,21,5,21.0,True,True,False,,1.0,0.8171073794364929,3,4,False,626.2,1.0,0.4,0.0
grpo,3b,527,48,5,24.0,False,False,False,,1.0,0.0,1,1,False,379.2,0.0,0.0,0.0
grpo,3b,532,25,5,17.0,False,False,False,,0.5,0.9068376421928406,2,3,False,341.4,0.25,0.04999999999999999,0.0
grpo,3b,534,300,5,540.0,False,False,False,,0.3333333333333333,0.9483277797698976,3,4,False,444.2,0.0,0.0,0.0
grpo,3b,535,16,5,,False,False,False,,0.0,0.0,0,4,False,254.8,0.0,0.0,0.0
grpo,3b,548,100,5,100.0,True,True,False,,1.0,0.7572329044342041,1,3,False,332.4,1.0,0.2,0.0
grpo,3b,549,398,5,396.0,False,False,False,79.0,0.3333333333333333,0.7530084252357483,3,4,True,348.2,0.0,0.04999999999999999,0.0
grpo,3b,552,450,5,900.0,False,False,False,900.0,0.6666666666666666,0.919475555419922,3,2,True,378.0,0.0,0.15000000000000002,0.0
grpo,3b,554,54,5,38.0,False,False,True,54.0,1.0,0.736454963684082,1,4,True,479.6,0.0,0.04999999999999999,1.0
grpo,3b,561,180,5,180.0,True,False,True,180.0,1.0,0.8283259272575378,1,2,True,345.4,0.0,0.2,0.0
grpo,3b,567,9,5,9.0,True,False,True,9.0,0.5,0.8663762807846069,2,3,True,524.2,0.0,0.2,0.0
grpo,3b,572,100,5,100.0,True,True,False,95.0,1.0,0.1075579822063446,1,5,True,410.4,1.0,0.2,0.0
grpo,3b,575,36,5,36.0,True,False,False,,1.0,0.289501279592514,1,5,False,409.4,0.0,0.2,0.0
grpo,3b,578,48,5,48.0,True,False,True,48.0,1.0,0.9622601866722108,1,4,True,497.6,0.0,0.2,1.0
grpo,3b,584,2,5,50.0,False,False,True,2.0,1.0,0.5214204788208008,1,5,True,491.2,0.0,0.04999999999999999,0.5
grpo,3b,597,90,5,90.0,True,True,False,,1.0,0.8156023621559143,2,3,False,448.6,1.0,0.4,0.0
grpo,3b,605,42,5,42.0,True,False,False,,1.0,0.8173936009407043,2,4,False,461.4,0.0,0.4,0.0
grpo,3b,610,65960,5,65960.0,True,True,False,,0.2,0.0858295932412147,5,4,False,498.4,1.0,0.5,0.0
grpo,3b,626,72,5,72.0,True,False,True,72.0,0.5,0.9288974404335022,2,4,True,405.0,0.0,0.2,1.0
grpo,3b,628,4,5,18.0,False,False,False,,0.5,0.3667071461677551,2,4,False,395.2,0.25,0.04999999999999999,0.0
grpo,3b,629,17500,5,1000.0,False,False,False,,0.5,0.4397509396076202,2,3,False,508.0,0.0,0.0,0.0
grpo,3b,631,4800,5,4800.0,True,False,False,,1.0,0.8788631558418274,2,3,False,264.0,0.0,0.4,0.0
grpo,3b,661,44,5,44.0,True,True,True,44.0,0.6666666666666666,0.3286393880844116,3,3,True,578.4,1.0,0.25,1.0
grpo,3b,666,120,5,,False,False,False,,0.0,0.0,0,2,False,275.6,0.0,0.0,0.0
grpo,3b,668,3,5,,False,False,False,,0.0,0.0,0,4,False,497.6,0.0,0.0,0.0
grpo,3b,670,4,5,,False,False,False,,0.0,0.0,0,4,False,489.4,0.0,0.0,0.0
grpo,3b,677,36,5,12.0,False,False,False,,1.0,0.906703531742096,2,5,False,486.2,0.25,0.15000000000000002,0.0
grpo,3b,679,576,5,576.0,True,False,True,576.0,1.0,0.7159650921821594,3,5,True,431.6,0.0,0.6,1.0
grpo,3b,701,200,5,200.0,True,False,False,,1.0,0.0,1,2,False,586.6,0.0,0.0,0.0
grpo,3b,704,50,5,50.0,True,False,True,50.0,0.6666666666666666,0.0089328363537788,3,5,True,482.4,0.0,0.4,1.0
grpo,3b,705,120,5,600.0,False,False,False,600.0,1.0,0.3663710951805115,1,4,True,311.0,0.0,0.0,0.0
grpo,3b,706,9,5,4.5,False,False,False,,0.5,0.0,2,4,False,489.2,0.0,0.0,0.0
grpo,3b,710,45,5,,False,False,False,,0.0,0.0,0,1,False,534.6,0.0,0.0,0.0
grpo,3b,727,112,5,112.0,True,True,False,,1.0,0.7417491674423218,2,4,False,363.2,1.0,0.4,0.0
grpo,3b,736,3,5,9.0,False,False,False,,0.5,0.1481643915176391,2,3,False,482.0,0.0,0.09999999999999998,0.0
grpo,3b,755,7,5,,False,False,False,,0.0,0.0,0,2,False,311.6,0.0,0.0,0.0
grpo,3b,759,60000,5,,False,False,False,,0.0,0.0,0,3,False,226.4,0.0,0.0,0.0
grpo,3b,762,85,5,24.0,False,False,False,30.0,0.5,0.4560090601444244,2,5,True,290.0,0.0,0.2,0.0
grpo,3b,764,14,5,14.0,True,False,False,,1.0,0.0,1,4,False,363.2,0.0,0.0,0.0
grpo,3b,770,4,5,14.0,False,False,True,4.0,0.5,0.0,2,2,True,254.8,0.0,0.2,1.0
grpo,3b,771,3,5,3.0,True,False,False,,1.0,0.7140502333641052,1,5,False,334.4,0.0,0.2,0.0
grpo,3b,777,4400,5,4800.0,False,False,False,,1.0,0.1398793160915374,1,1,False,563.4,0.0,0.0,0.0
grpo,3b,781,17,5,68.0,False,False,False,,0.5,0.6198090314865112,2,4,False,430.6,0.0,0.0,0.0
grpo,3b,783,4,5,5.0,False,False,False,,0.5,0.6483861804008484,4,5,False,698.6,0.25,0.30000000000000004,0.0
grpo,3b,792,75,5,42.0,False,False,False,,0.5,0.0,2,3,False,417.4,0.0,0.0,0.0
grpo,3b,793,250,5,,False,False,False,,0.0,0.0,0,3,False,367.8,0.0,0.0,0.0
grpo,3b,802,6,5,16.0,False,False,False,,0.5,0.3752236366271972,2,4,False,437.2,0.0,0.09999999999999998,0.0
grpo,3b,803,9,5,,False,False,False,,0.0,0.0,0,2,False,289.4,0.0,0.0,0.0
grpo,3b,806,70,5,70.0,True,False,False,1.9,1.0,0.9227436184883118,2,3,True,311.6,0.0,0.4,0.25
grpo,3b,816,4500,5,4500.0,True,True,True,4500.0,0.6666666666666666,0.0388396121561527,3,4,True,238.0,1.0,0.44999999999999996,1.0
grpo,3b,839,2,5,2.0,True,False,True,2.0,1.0,0.7057499289512634,2,5,True,327.2,0.0,0.4,1.0
grpo,3b,842,10,5,10.0,True,False,False,,0.5,0.7477757334709167,4,4,False,301.8,0.0,0.4,0.0
grpo,3b,846,11,5,13.0,False,False,True,11.0,1.0,0.4210051000118255,1,4,True,632.4,0.0,0.04999999999999999,1.0
grpo,3b,852,123,5,123.0,True,False,True,123.0,1.0,0.4277367293834686,2,5,True,503.2,0.0,0.4,1.0
grpo,3b,855,13,5,29.0,False,False,False,,0.5,0.7113982439041138,2,3,False,423.0,0.0,0.0,0.0
grpo,3b,859,1520,5,,False,False,True,1520.0,0.0,0.0,0,5,True,419.4,0.0,0.0,1.0
grpo,3b,881,16,5,,False,False,False,,0.0,0.0,0,5,False,394.6,0.0,0.0,0.0
grpo,3b,886,20,5,20.0,True,True,False,,0.6666666666666666,0.863341212272644,3,4,False,409.8,1.0,0.4,0.0
grpo,3b,888,10,5,10.0,True,False,False,48.0,1.0,0.621215283870697,2,2,True,448.2,0.0,0.15000000000000002,0.0
grpo,3b,889,15,5,15.0,True,True,False,,1.0,0.3286724686622619,1,4,False,354.0,1.0,0.2,0.0
grpo,3b,894,26,5,0.0,False,False,False,,0.5,0.5079658627510071,2,4,False,476.6,0.0,0.2,0.0
grpo,3b,895,74,5,74.0,True,False,False,,1.0,0.5796449780464172,1,5,False,452.8,0.0,0.2,0.0
grpo,3b,898,110,5,110.0,True,True,False,,1.0,0.8047760128974915,2,2,False,227.2,1.0,0.2,0.0
grpo,3b,912,6,5,6.0,True,True,False,,0.25,0.0,4,2,False,469.8,0.0,0.0,0.0
grpo,3b,932,24,5,24.0,True,True,False,26.0,0.3333333333333333,0.0054716765880584,3,2,True,443.2,1.0,0.2,0.25
grpo,3b,933,15,5,15.0,True,False,False,,0.6666666666666666,0.9021367430686952,3,3,False,403.6,0.0,0.2,0.0
grpo,3b,939,650,5,650.0,True,False,False,,1.0,0.0186187978833913,3,3,False,560.2,0.0,0.4,0.0
grpo,3b,952,360,5,60.0,False,False,False,,1.0,0.0,1,2,False,362.8,0.0,0.0,0.0
grpo,3b,962,1000,5,1800.0,False,False,False,,1.0,0.2642447352409363,1,3,False,305.0,0.0,0.04999999999999999,0.0
grpo,3b,963,147,5,147.0,True,True,True,147.0,1.0,0.6075623035430908,4,4,True,481.4,1.0,0.8,1.0
grpo,3b,970,33,5,33.0,True,False,False,,1.0,0.2460494488477707,1,1,False,294.4,0.0,0.2,0.0
grpo,3b,973,79,5,79.0,True,True,False,49.0,1.0,0.6428917050361633,2,2,True,360.4,1.0,0.4,0.0
grpo,3b,1003,480,5,480.0,True,False,True,480.0,0.5,0.8020246624946594,4,4,True,480.0,0.0,0.2,1.0
grpo,3b,1004,8,5,,False,False,False,,0.0,0.0,0,3,False,386.4,0.0,0.0,0.0
grpo,3b,1009,1875,5,1125.0,False,False,False,,1.0,0.7732797861099243,1,1,False,593.2,0.0,0.0,0.0
grpo,3b,1018,60,5,,False,False,False,,0.0,0.0,0,4,False,246.0,0.0,0.0,0.0
grpo,3b,1033,2,5,12.0,False,False,False,6.0,0.3333333333333333,0.0,3,2,True,358.0,0.0,0.2,0.25
grpo,3b,1036,10,5,10.0,True,False,False,,1.0,0.0,1,4,False,386.2,0.0,0.0,0.0
grpo,3b,1043,130000,5,,False,False,False,,0.0,0.0,0,3,False,226.2,0.0,0.0,0.0
grpo,3b,1046,189,5,47.625,False,False,False,,1.0,0.8565536737442017,1,3,False,490.8,0.0,0.04999999999999999,0.0
grpo,3b,1052,110,5,110.0,True,False,False,,0.6666666666666666,0.9718713164329528,3,4,False,717.2,0.5,0.44999999999999996,0.0
grpo,3b,1067,245,5,,False,False,False,,0.0,0.0,0,4,False,480.8,0.0,0.0,0.0
grpo,3b,1068,24,5,,False,False,False,,0.0,0.0,0,2,False,272.6,0.0,0.0,0.0
grpo,3b,1083,2,5,2.0,True,False,False,,1.0,0.6353590488433838,2,5,False,397.4,0.0,0.4,0.0
grpo,3b,1089,32,5,64.0,False,False,False,,1.0,0.7335829734802246,1,1,False,263.6,0.0,0.04999999999999999,0.0
grpo,3b,1090,72,5,82.0,False,False,False,2.0,1.0,0.9352394938468932,1,2,True,283.8,0.0,0.09999999999999998,0.0
grpo,3b,1091,1000,5,1000.0,True,False,False,,1.0,0.8757549524307251,3,5,False,238.2,0.0,0.6,0.0
grpo,3b,1092,1080,5,2160.0,False,False,False,2160.0,0.5,0.5281726121902466,4,3,True,551.0,0.0,0.0,0.25
grpo,3b,1096,240,5,60.0,False,False,False,,0.5,0.9049163460731506,2,3,False,359.2,0.0,0.0,0.0
grpo,3b,1100,5,5,30.0,False,False,True,5.0,1.0,0.7698714137077332,1,4,True,389.4,0.0,0.0,1.0
grpo,3b,1112,5,5,5.0,True,False,True,5.0,1.0,0.0,1,3,True,281.0,0.0,0.0,0.0
grpo,3b,1113,-3,5,-3.0,True,True,False,,0.6666666666666666,0.2487408965826034,3,4,False,328.6,1.0,0.5,0.0
grpo,3b,1115,5,5,5.0,True,True,True,5.0,1.0,0.2380462884902954,3,3,True,335.2,1.0,0.6,1.0
grpo,3b,1118,5,5,5.0,True,True,False,,0.25,0.4090973138809204,4,4,False,525.2,1.0,0.2,0.0
grpo,3b,1122,18,5,28.0,False,False,True,18.0,0.5,0.5743954181671143,2,2,True,662.4,0.0,0.0,1.0
grpo,3b,1128,9,5,,False,False,True,9.0,0.0,0.0,0,2,True,286.8,0.0,0.0,1.0
grpo,3b,1131,96,5,96.0,True,False,False,,0.6666666666666666,0.7420043349266052,3,5,False,555.2,0.25,0.44999999999999996,0.0
grpo,3b,1143,300,5,600.0,False,False,False,,0.5,0.3179022371768951,2,3,False,295.6,0.0,0.04999999999999999,0.0
grpo,3b,1149,93,5,90.0,False,False,True,93.0,0.6666666666666666,0.7330918312072754,3,3,True,445.2,0.0,0.30000000000000004,1.0
grpo,3b,1158,7300,5,3740.0,False,False,True,7300.0,1.0,0.5527546405792236,1,4,True,450.4,0.0,0.0,1.0
grpo,3b,1171,3160,5,2080.0,False,False,False,,1.0,0.8387880921363831,1,3,False,487.2,0.5,0.09999999999999998,0.0
grpo,3b,1182,1800,5,1800.0,True,False,False,,1.0,0.047724962234497,1,3,False,380.6,0.0,0.2,0.0
grpo,3b,1192,280,5,280.0,True,False,False,,0.5,0.1476922184228897,2,4,False,491.2,0.0,0.2,0.0
grpo,3b,1205,4,5,4.0,True,False,False,,0.6666666666666666,0.178728312253952,3,3,False,622.6,0.0,0.4,0.0
grpo,3b,1211,448,5,56.0,False,False,False,240.0,0.5,0.0,2,3,True,411.0,0.0,0.2,0.0
grpo,3b,1221,10,5,,False,False,False,,0.0,0.0,0,3,False,294.4,0.0,0.0,0.0
grpo,3b,1223,8,5,8.0,True,False,True,8.0,1.0,0.3752995133399963,2,2,True,239.2,0.0,0.4,1.0
grpo,3b,1225,3,5,3.0,True,False,False,,1.0,0.0759682208299636,3,3,False,346.0,0.0,0.6,0.0
grpo,3b,1237,78,5,78.0,True,False,True,78.0,1.0,0.8127999901771545,1,4,True,271.8,0.0,0.2,1.0
grpo,3b,1261,235,5,235.0,True,False,False,,0.6666666666666666,0.5935944318771362,3,2,False,354.2,0.0,0.2,0.0
grpo,3b,1274,38,5,38.0,True,True,False,46.0,1.0,0.2904075682163238,2,4,True,301.4,1.0,0.4,0.25
grpo,3b,1276,70,5,,False,False,False,240.0,0.0,0.0,0,5,True,405.6,0.0,0.0,0.0
grpo,3b,1277,48,5,48.0,True,False,True,48.0,0.5,0.811772882938385,4,4,True,352.0,0.0,0.2,1.0
grpo,3b,1284,25,5,25.0,True,True,True,25.0,1.0,0.8396183848381042,4,3,True,640.4,1.0,0.4,1.0
grpo,3b,1295,2,5,3.0,False,False,True,2.0,0.5,0.6634641885757446,2,5,True,473.4,0.0,0.2,1.0
grpo,3b,1303,4,5,,False,False,False,,0.0,0.0,0,3,False,624.6,0.0,0.0,0.0
grpo,3b,1305,2325,5,2325.0,True,False,False,,1.0,0.0,1,3,False,346.0,0.0,0.0,0.0
